start_height,end_height,length_qubic_run,total_orphans_on_run,max_consecutive_orphan_heights,start_ts,end_ts
3488527,3488529,3,1,1,2025-08-29 17:28:19,2025-08-29 17:30:16
3489104,3489106,3,1,1,2025-08-30 12:56:25,2025-08-30 12:57:56
3489187,3489188,2,1,1,2025-08-30 14:58:31,2025-08-30 15:03:02
3489191,3489192,2,1,1,2025-08-30 15:04:52,2025-08-30 15:10:56
3489194,3489195,2,1,1,2025-08-30 15:13:07,2025-08-30 15:14:49
3489196,3489197,2,1,1,2025-08-30 15:16:13,2025-08-30 15:16:55
3489216,3489217,2,1,1,2025-08-30 15:55:44,2025-08-30 15:56:53
3489218,3489219,2,1,1,2025-08-30 15:57:16,2025-08-30 15:59:25
3489228,3489229,2,1,1,2025-08-30 16:12:39,2025-08-30 16:13:29
3489235,3489236,2,1,1,2025-08-30 16:27:13,2025-08-30 16:29:44
3489243,3489244,2,1,1,2025-08-30 16:42:41,2025-08-30 16:43:08
3489259,3489260,2,1,1,2025-08-30 17:06:15,2025-08-30 17:13:40
3489264,3489265,2,1,1,2025-08-30 17:18:48,2025-08-30 17:19:31
3489288,3489290,3,2,2,2025-08-30 18:00:00,2025-08-30 18:06:01
3489292,3489293,2,1,1,2025-08-30 18:12:14,2025-08-30 18:16:55
3489294,3489295,2,1,1,2025-08-30 18:22:20,2025-08-30 18:22:35
3489303,3489304,2,1,1,2025-08-30 18:44:26,2025-08-30 18:47:12
3489309,3489310,2,1,1,2025-08-30 18:58:02,2025-08-30 18:59:44
3489317,3489319,3,1,1,2025-08-30 19:10:52,2025-08-30 19:19:13
3489329,3489330,2,1,1,2025-08-30 19:32:55,2025-08-30 19:38:55
3489336,3489337,2,1,1,2025-08-30 19:44:39,2025-08-30 19:47:47
3489338,3489339,2,1,1,2025-08-30 19:50:52,2025-08-30 19:51:49
3489348,3489349,2,1,1,2025-08-30 20:14:54,2025-08-30 20:21:20
3489354,3489355,2,1,1,2025-08-30 20:34:12,2025-08-30 20:36:40
3489356,3489357,2,1,1,2025-08-30 20:39:50,2025-08-30 20:42:32
3489358,3489359,2,1,1,2025-08-30 20:46:02,2025-08-30 20:47:30
3489363,3489364,2,1,1,2025-08-30 20:54:36,2025-08-30 20:55:20
3489365,3489368,4,3,3,2025-08-30 20:57:01,2025-08-30 20:57:58
3489369,3489370,2,1,1,2025-08-30 21:04:11,2025-08-30 21:07:12
3489377,3489378,2,1,1,2025-08-30 21:16:20,2025-08-30 21:16:30
3489387,3489388,2,1,1,2025-08-30 21:34:29,2025-08-30 21:38:48
3489393,3489395,3,2,2,2025-08-30 21:47:31,2025-08-30 21:50:05
3489404,3489405,2,1,1,2025-08-30 22:06:11,2025-08-30 22:08:51
3489406,3489410,5,4,4,2025-08-30 22:09:30,2025-08-30 22:13:30
3489411,3489412,2,1,1,2025-08-30 22:22:11,2025-08-30 22:23:58
3489413,3489415,3,2,2,2025-08-30 22:27:02,2025-08-30 22:28:16
3489418,3489419,2,1,1,2025-08-30 22:36:24,2025-08-30 22:39:39
3489427,3489438,12,9,9,2025-08-30 22:51:21,2025-08-30 23:29:13
3489439,3489440,2,1,1,2025-08-30 23:36:42,2025-08-30 23:37:24
3489443,3489444,2,1,1,2025-08-30 23:42:56,2025-08-30 23:45:26
3489453,3489454,2,1,1,2025-08-31 00:11:17,2025-08-31 00:12:39
3489459,3489465,7,5,5,2025-08-31 00:18:58,2025-08-31 00:41:37
3489466,3489469,4,3,3,2025-08-31 00:42:01,2025-08-31 00:49:40
3489471,3489472,2,1,1,2025-08-31 00:54:15,2025-08-31 00:56:02
3489479,3489480,2,1,1,2025-08-31 01:04:23,2025-08-31 01:09:46
3489490,3489491,2,1,1,2025-08-31 01:42:31,2025-08-31 01:48:02
3489496,3489497,2,1,1,2025-08-31 01:58:15,2025-08-31 02:00:22
3489499,3489500,2,1,1,2025-08-31 02:03:11,2025-08-31 02:04:23
3489535,3489536,2,1,1,2025-08-31 03:20:07,2025-08-31 03:21:19
3489538,3489539,2,1,1,2025-08-31 03:25:10,2025-08-31 03:26:58
3489572,3489583,12,9,9,2025-08-31 04:40:00,2025-08-31 05:24:18
3489586,3489590,5,4,4,2025-08-31 05:35:22,2025-08-31 05:45:39
